id,session_id,timestamp_utc,channel,can_id_hex,message_name,signal_name,raw_value,physical_value,unit,enum_label,quality,threshold_status,created_at
757253,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Brake_Status,false,false,bool,,good,,2026-07-10 10:09:32
757242,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Drive_Mode,2,2,,,good,,2026-07-10 10:09:32
757238,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Drive_Mode_Shift_Button,0,0,,Manual,good,,2026-07-10 10:09:32
757237,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Ignition_Status,1,1,,,good,,2026-07-10 10:09:32
757236,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Parking_Status,0,0,,Released,good,,2026-07-10 10:09:32
757235,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Shift_Level_Status,0,0,,N,good,,2026-07-10 10:09:32
757240,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Steering_Wheel_Angle,0.0,0.0,,,good,,2026-07-10 10:09:32
757241,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Vehicle_Speed,0.0,0.0,km/h,,good,,2026-07-10 10:09:32
757244,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Emergency_Brake_Request_Status,0,0,,,good,,2026-07-10 10:09:32
757247,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Handle_Brake_Request_Status,0,0,,,good,,2026-07-10 10:09:32
757248,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Handle_Mode_Flag_Status,0,0,,,good,,2026-07-10 10:09:32
757249,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Left_Turn_Light_Status,false,false,bool,,good,,2026-07-10 10:09:32
757252,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Low_Beam_Status,false,false,bool,,good,,2026-07-10 10:09:32
757251,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Position_Light_Status,false,false,bool,,good,,2026-07-10 10:09:32
757243,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Remote_Brake_Request_Status,false,false,bool,,good,,2026-07-10 10:09:32
757250,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Right_Turn_Light_Status,false,false,bool,,good,,2026-07-10 10:09:32
757245,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,SCU_Brake_Signal_Status,0,0,,Inactive,good,,2026-07-10 10:09:32
757239,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Steering_Wheel_Direction,1,1,,RightOrPositive,good,,2026-07-10 10:09:32
757246,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418878+00:00,CAN2,0x51,VCU_CCU_Status,Touch_Brake_Request_Status,false,false,bool,,good,,2026-07-10 10:09:32
757254,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418978+00:00,CAN2,0x77,VCU_Warning_Level,BMS_SOC_Warning,0,0,,Normal,good,,2026-07-10 10:09:32
757262,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418978+00:00,CAN2,0x77,VCU_Warning_Level,Brake_Error_Warning,0,0,,Normal,good,,2026-07-10 10:09:32
757255,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418978+00:00,CAN2,0x77,VCU_Warning_Level,MCU_Disconnect_Warning,0,0,,Normal,good,,2026-07-10 10:09:32
757256,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418978+00:00,CAN2,0x77,VCU_Warning_Level,MCU_Motor_Warning,0,0,,Normal,good,,2026-07-10 10:09:32
757257,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418978+00:00,CAN2,0x77,VCU_Warning_Level,MCU_Speed_Warning,0,0,,Normal,good,,2026-07-10 10:09:32
757258,EOL-1E0EDEEC82C1,2026-07-10T10:09:32.418978+00:00,CAN2,0x77,VCU_Warning_Level,Steering_Disconnect_Warning,0,0,,Normal,good,,2026-07-10 10:09:32
