id,session_id,timestamp_utc,channel,can_id_hex,message_name,signal_name,raw_value,physical_value,unit,enum_label,quality,threshold_status,created_at
710175,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Brake_Status,false,false,bool,,good,,2026-07-10 10:08:56
710164,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Drive_Mode,2,2,,,good,,2026-07-10 10:08:56
710160,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Drive_Mode_Shift_Button,0,0,,Manual,good,,2026-07-10 10:08:56
710159,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Ignition_Status,1,1,,,good,,2026-07-10 10:08:56
710158,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Parking_Status,0,0,,Released,good,,2026-07-10 10:08:56
710157,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Shift_Level_Status,0,0,,N,good,,2026-07-10 10:08:56
710162,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Steering_Wheel_Angle,0.0,0.0,,,good,,2026-07-10 10:08:56
710163,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,CCU_Vehicle_Speed,0.0,0.0,km/h,,good,,2026-07-10 10:08:56
710166,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Emergency_Brake_Request_Status,0,0,,,good,,2026-07-10 10:08:56
710169,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Handle_Brake_Request_Status,0,0,,,good,,2026-07-10 10:08:56
710170,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Handle_Mode_Flag_Status,0,0,,,good,,2026-07-10 10:08:56
710171,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Left_Turn_Light_Status,false,false,bool,,good,,2026-07-10 10:08:56
710174,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Low_Beam_Status,false,false,bool,,good,,2026-07-10 10:08:56
710173,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Position_Light_Status,false,false,bool,,good,,2026-07-10 10:08:56
710165,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Remote_Brake_Request_Status,false,false,bool,,good,,2026-07-10 10:08:56
710172,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Right_Turn_Light_Status,false,false,bool,,good,,2026-07-10 10:08:56
710167,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,SCU_Brake_Signal_Status,0,0,,Inactive,good,,2026-07-10 10:08:56
710161,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Steering_Wheel_Direction,1,1,,RightOrPositive,good,,2026-07-10 10:08:56
710168,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,0x51,VCU_CCU_Status,Touch_Brake_Request_Status,false,false,bool,,good,,2026-07-10 10:08:56
710176,EOL-0B96CC1113B6,2026-07-10T10:08:56.075055+00:00,CAN2,0x77,VCU_Warning_Level,BMS_SOC_Warning,0,0,,Normal,good,,2026-07-10 10:08:56
710184,EOL-0B96CC1113B6,2026-07-10T10:08:56.075055+00:00,CAN2,0x77,VCU_Warning_Level,Brake_Error_Warning,0,0,,Normal,good,,2026-07-10 10:08:56
